Index,Word,Meaning,Synonyms,Conjugation
5109,karii,msomaji wa tajuwidi | mtu anayesoma maandishi na kusahihisha makosa yaliyomo na kisha kutoa maoni,,
5110,karikopwa,kitambaa kigumu cha rangi nyeupe chenye uzito wa nguo ya khaki,,
5111,Karima,"jina la Mungu linalomaanisha kuwa yu ""Mkarimu"" kwa mujibu wa dini ya Kiislamu",,
5112,karimu,"-siokuwa na choyo, -enye kupenda kusaidia, -enye ukarimu",,
5113,karina,neno lenye kueleza jambo kwa mafumbo, : Mtu huyu ni karina kwetu -> mtu huyu ni muhimu sana,
5114,karipia,sema kwa ukali,"kemea, gombeza","karipiana, karipiwa"
5115,karipio,"maneno makali, maneno ya kukemea | onyo analotoa mwajiri kwa mfanyakazi mzembe: Alipewa karipio la mdomo kwanza.",,
5116,kariri,rudia kufanya jambo ulilokwisha kulifanya: Juma alikariri darasa la nne. | rudia jambo ulilokwisha tenda ama maneno uliyosema: Aliyakariri mashairi yote.,,"kariria, karirika, karirisha, kaririwa"
5117,karisaji,malipo ya kazi iliyofanywa kwa muda wa ziada,,
5118,karisi,kuoza au kuchakaa kwa jino au mfupa,,
5119,karne,kipindi cha miaka mia moja,,
5120,karo,"zawadi au fedha itolewayo na mwanafunzi kwa mwalimu wake | ada ya shule inayotolewa na mwanafunzi kwa ajili ya gharama za mafunzo, malazi na chakula",,
5121,karo,"mahali palipotengenezwa maalumu kwa ajili ya kuoshea sahani, sufuria na vyombo vingine vya nyumbani | shimo la maji machafu yaliyokwisha tumika",,
5122,karoti,"mzizi unaohifadhi chakula kama muhogo ulio na rangi ya njano na umbo la pia ambao hutumiwa kama mboga kwa kuula kama ulivyo, kuchanganywa na mchuzi au kutengeneza kachumbari",,
5123,karua,baharia kutoka bara Hindi | Wahindi wanaofinyanga vyungu na mitungi,,
5124,karwe,samaki aina ya taa mwenye mwiba wenye sumu,,
5125,kasa,"mnyama aina ya kobe aishiye baharini, mwenye mapezi ya kuogelea na hutaga mayai kwenye nchi kavu",,
5126,kasabu,pambo la nyuzinyuzi zilizotiwa rangi ya dhahabu ambalo hutumiwa kupamba nguo | nguo au kitambaa chenye rangi ya dhahabu inayometameta,,
5127,kasabu,alama inayowekwa mahali wanaposhindana wakimbiaji ili kuonyesha mkimbiaji aliyefika mwanzo,,
5128,kasama,maneno ya kujiapiza ili kuthibitisha kuwa kinachosemwa ni kweli,"kiapo, yamini",
5129,kasama,sehemu inayoungwa mbele ya ngalawa,,
5130,kasama,kasoro zilizo katika kitu kilichosukwa,,
5131,kaseti,kanda inayotumiwa kunasa picha au sauti,,
5132,kasha,"sanduku la karatasi ngumu la kuwekea vitu au bidhaa kwa mfano redio, nguo na kadhalika",,
5133,kashabi,bana muwa ili kutoa maji yaliyomo,,"kashabia, kashabika, kashabisha, kashabiwa"
5134,kashabu,kijiti cha kuvutia nyuzi wakati wa kufuma au kutarizi,,
5135,kashabu,ushanga mnene wa rangi ya dhahabu au fedha wenye uwazi ndani ambao huvaliwa kiunoni na akina mama,usiniguse,
5136,kashata,"chakula ambacho hutengenezwa kwa chicha, njugu au ufuta uliochanganywa na sukari",,
5137,kashata,"mikato inayopatikana kwenye mpira wa vyombo vya usafiri kama vile gari, ndege au baiskeli ambayo huzuia vyombo hivyo visisepetuke/visiserereke",,
5138,kashembea,"aina ya silaha ya kisu kipana nchani kinachopachikwa kwenye nguo, mkanda, kiunoni au tumboni","jambia, sime, chembeu",
5139,kasheshe,"hali ya mtafaruku, fujo au kutoelewana",,
5140,kashfa,jambo la aibu lililofanyika kwa siri ambalo limefichuka,,
5141,kashida,"kitambaa kinachovaliwa kwa kuwekwa begani na mashekhe au walimu wa Kiislamu, aghalabu huwa cha sufu na kizito",,
5142,kashifu,toa maneno aghalabu ya uongo ya kumvunjia mtu heshima yake | pata ufunuo wa kujua jambo ambalo limo rohoni mwa mtu kabla hajalieleza,buruhani,"kashifia, kashifiana, kashifika, kashifiwa"
5143,kashimiri,sufu laini na nyororo ambayo asili yake ilikuwa mbuzi wa Kashmir huko India,,
5144,kasi,mwendo wa haraka | nia ya kufanya jambo kwa bidii,"juhudi, jitihada, hima, idili",
5145,kasi,kwa haraka,upesi,
5146,kasia,kafi,,
5147,kasiba,sehemu ya bunduki yenye tundu inayopitisha risasi,mtutu,
5148,kasida,"tungo zinazoimbwa wakati wa Maulidi ili kumsifu Mtume Muhammad (s.a.w) | tungo za kumsifu mtu, kitu au jambo ambazo huimbwa",,
5149,kasidi,maelezo ya kuonyesha kisa cha kufanyika kwa jambo,"sababu, usuli, chanzo",
5150,kasiki,mtungi mkubwa wa udongo wa umbo la kusimama,gudulia,
5151,kasiki,joho la mikono mirefu linalovaliwa na makasisi au wachungaji,,
5152,kasimile,tui la nazi ambalo hukamuliwa katika kung''uto,,
5153,kasimu,"gawa kitu katika sehemu zilizo sawa, kata kitu katikati ili kupata sehemu mbili zilizolingana | toa madaraka kwa mtu ya kufanya jambo kwa niaba yako",,"kasimia, kasimika, kasimisha"
5154,kasino,mahali ambapo pana mgahawa na watu hucheza kamari,,
5155,kasiri,sababisha kuwa na hasira | teremsha kiwango cha kitu,"kasirisha, chusha","kasiria, kasirika, kasirisha, kasiriwa"
5156,kasirika,patwa na hasira,"ghadhabika, chukia, hamaki, fura, vimba",
5157,kasirikia,chukia mtu kwa maovu aliyokutendea,ghadhabikia,
5158,kasirisha,fanya mtu ashikwe au apatwe na hasira,"ghadhibisha, kera",
5159,kasisi,kiongozi wa dini ya Kikristo wa madhehebu ya Kikatoliki au Kianglikani,padri,
5160,kaskazi,"majira ya mwaka katika ukanda wa pwani ambapo upepo wenye joto kali huvuma kutoka Kaskazini Mashariki | upande wa Kaskazini, upande unaoelekea Makka","kibla, hanali",
5161,Kaskazini,"upande wa dira ambao mtu akiuelekea, mkono wake wa kulia huelekea kunakochomoza jua yaani Mashariki na mkono wa kushoto huelekea upande jua linapotua yaani Magharibi, upande wa Kaskazi",,
5162,kasma,mifuko mbalimbali ya fedha za matumizi katika idara ili kukidhi haja tofauti: Kasma ya usafiri haina fedha tena.,,
5163,kasoko,shimo lililo katika kilele cha mlima ambapo zaha hutokea wakati volkano inapotokea,,
5164,kasoro,hali ya kutokuwa kamili,"upungufu, dosari",
5165,kasoro,isipokuwa: Wanafunzi wote walifaulu kasoro wanafunzi watano.,"ila, ghairi ya",
5166,kasoro,"-siokamilika, -enye upungufu, -enye dosari",,
5167,kasorobo,kitu kilichopungua kwa kiasi cha robo: Aliwasili saa mbili kasorobo.,,
5168,kasra,herufi yenye kuwakilisha irabu ''i'' inayotiwa chini ya herufi ya hati ya Kiarabu,,
5169,kasri,jumba kubwa la kifahari: Ukienda ufukweni utaona kasri la mfalme. | jumba la kifalme,,
5170,kastabini,kifaa cha plastiki au chuma kinachovaliwa kidoleni ili kumkinga mtu anayeshona asichomwe na ncha ya sindano,"tondoo, subana",
5171,kastadi,rojo tamu ambayo hutengenezwa kwa maziwa na mayai na kuongezwa unga wa mahindi au maziwa ili iwe nzito,,
5172,kasuku,ndege mwenye rangi nyingi anayeweza kuiga maneno yanayosemwa na binadamu,,
5173,kasuku,chombo cha chuma ambacho hutumiwa kung''olea misumari kutoka kwenye mbao,,
5174,kasula,vazi maalumu la kuendeshea ibada livaliwalo na padri wakati wa kufanya misa,,
5175,kasumba,aina ya dawa ya kulevya inayotokana na utomvu wa maua fulani | mawazo hasa ya kibeberu yanayotokana na kuathiriwa na utamaduni wa jamii nyingine ambayo humfanya mtu apuuze utamaduni wa jamii yake kasumba ya kikoloni fikira za kikoloni zinazomtawala mtu ha,,
5176,kaswende,ugonjwa wa ngono unaoshika sehemu za siri ambao hutokana na kujamiiana,,
5177,kata,"chombo ambacho hutengenezwa kwa kifuu cha nazi, kopo au kibuyu kilichokatwa sehemu ya juu ikawa wazi na kisha kutiwa mpini na kutumiwa kuchotea au kunywea maji au pombe",,
5178,kata,kitu ambacho hutengenezwa kwa majani au kitambaa na kuviringwa ambacho huwekwa kichwani au begani wakati wa kubeba mzigo ili kupunguza mbinyo wa mzigo kichwani au begani | uzi mnene uliosukwa,,
5179,kata,kitambaa au pamba inayobandikwa na kufungwa mahali penye kidonda au uvimbe | alfafa,kizingatine,
5180,kata,eneo la kijiografia ambalo hujumuisha vijiji au mitaa kadhaa lakini dogo kuliko tarafa au lokesheni: Kila kata ina shule moja ya sekondari.,wodi,
5181,kata,tenganisha sehemu moja ya kitu kwa kisu au kitu chenye makali kwa mfano panga au shoka: Kata mti na panda mti.,,"katana, katia, katika, katisha, katwa"
5182,kataa,"eleza kwa maneno au ishara kutokubaliana na jambo, sema hapana, -tokubali: Amekataa kupika chakula.",,"kataana, katalika, kataliwa, kataza"
5183,katakata,"neno la kusisitiza kutokubalika kwa jambo: Nimemsihi ale chakula lakini amekataa katakata. | gawa kitu katika vipandevipande kwa kutumia kisu, upanga, msumeno, wembe na kadhalika",kabisa,
5184,katalogi,"kijitabu cha orodha ya vitu kwa mfano bidhaa zinazotangazwa pamoja na taarifa zinazohusika kwa mfano jina la bidhaa, ukubwa wake, bei na kadhalika: Kila mchapishaji alitoa katalogi ya vitabu vyake. | orodha ya majina au vitu kwa mfano vitabu, picha na kad",,
5185,katani,mmea wenye majani marefu na mapana yenye miba nchani ambao hutoa nyuzi za kutengenezea kamba | nyuzi za mkonge,,
5186,katapila,kifaa cha ujenzi aina ya trekta kubwa lenye jembe refu na bapa linalotumiwa katika kuchimba na kusawazisha barabara,,
5187,katara,gari lililochakaa,,
5188,katavu,"-enye kukataa, -siotii",kaidi,
5189,katayo,"jambo lililokatazwa, jambo lililopigwa marufuku","mwiko, marufuku, katazo",
5190,kataza,"zuia mtu asifanye jambo, ambia mtu asitende jambo fulani",,"katazana, katazia, katazika, katazwa"
5191,katazo,neno au tendo linalozuia mtu kufanya jambo fulani,katayo,
5192,kategoria,"kundi la vitu vyenye sifa zinazofanana vilivyopangwa pamoja, kwa mfano maneno yenye sifa ya kuhesabika, kugusika, kuhisika na kuweza kuwa mtenda, mtendwa au mtendewa katika sentensi huunda kategoria ya nomino",,
5193,katekisimu,kitabu cha mafunzo ya awali ya dini ya Kikristo,,
5194,katekista,mwalimu wa dini ya Kikristo anayefunza mafunzo ya awali kwa wanafunzi wa dini akitumia katekisimu,,
5195,katheta,kifaa cha chuma au mpira chenye uwazi ndani kama mwanzi kinachoingizwa katika mwili wa binadamu ili kutoa usaha au uowevu wowote,,
5196,kati,"baina ya: Shule ipo kati ya barabara na reli. | mojawapo ya, miongoni mwa: Wanafunzi wawili kati ya kumi husomea ualimu.",,
5197,katiba,"sheria au kanuni zinazowezesha serikali, chama na kadhalika kuendesha shughuli zake | desturi za mtu ambazo huzifanya kwa mazoea na kuwa kama kanuni ya kufanya mambo yake",kaida,
5198,katibu,"mtu anayeandika na kuhifadhi maandishi ya shirika, chama ama kampuni : katibu muhtasi, katibu mtendaji, katibu mwenezi, katibu myeka",mwandishi,
5199,katibu mkuu,ofisa mtendaji mkuu wa wizara au chama: Katibu mkuu wa Wizara ya Fedha, Katibu mkuu wa Chama cha Wazalendo.,
5200,katika,mahali fulani: Walikuwa katika shamba la mpunga. | kutokana na: Alijifunza mengi katika hadithi ile.,,
5201,katikati,mahali ambapo pamezungukwa pande zote | mahali baina ya vitu viwili: Shamba lipo katikati ya msitu.,,
5202,Katikiro,mtu mwenye cheo cha chini ya mfalme katika kabila la Baganda | (zam) tarishi,,
5203,katili,"-siokuwa na huruma, -enye dhuluma, -siotenda haki","dhalimu, nduli",
5204,katiti,"dogo, -siokuwa kubwa",,
5205,katiza,"pita njia ya mkato | acha kuendelea kufanya shughuli, zuia jambo lililokuwa likifanyika lisiendelee: Amekatiza masomo kwa kukosa karo. | ingilia katika mazungumzo",dakiza,
5206,katizo,usitishaji wa huduma iliyokuwa ikiendelea kutolewa: katizo la maji, katizo la umeme: Katizo la umeme la mara kwa mara linakera.,
5207,kato,kiasi aghalabu cha pesa kinachokatwa kutoka kwenye mshahara: Makato ya mshahara yalifanywa ili kufidia deni. | tendo la kukata,,
5208,Katoliki,"madhehebu ya Kikristo yanayoongozwa na Baba Mtakatifu anayeishi Vatikani huko Roma, Italia",,
5209,katoni,boksi la karatasi gumu lililotiwa vitu vya idadi maalumu: Nimenunua katoni mbili za sabuni. | boksi la karatasi gumu la kutilia bidhaa,,
5210,katu,gundi kavu ya kutafunia tambuu,,
5211,katu,hata mara moja: Sitaonana naye katu.,"asilani, abadani, kamwe, bilikuli, kabisa, sini",
5212,katua,lima kwa kuchimbua ardhi: Maganga anajua kukatua shamba vizuri.,,"katulia, katulika, katulisha"
5213,katuni,picha ya kuchorwa magazetini ambayo hueleza wazo fulani kwa namna ya kuchekesha | picha ya kitu fulani iliyochorwa kwa namna ya kuchekesha,kibonzo,
5214,katushi,"kidonge au mchoro uliotiwa nakshi na kufanya pambo lililokunjwa katika miisho yake, fremu iliyotiwa madoido inayozunguka picha au mchoro",,
5215,kauka,kuwa kavu kutokana na joto: Nguo zilizofuliwa zimekauka. | kuwa ngumu,,"kaukia, kausha"
5216,kaukau,"vipande vidogovidogo vya mkate uliochomwa na kukauka na vinapotafunwa hutoa sauti ya ""kaukau""",,
5217,kaukia,kauka maji kwa kitu kinachopikwa au kuchemshwa kutokana na joto jingi,,
5218,kaukiana,"kuwa kavu kabisa, kauka sana | konda sana | simama wima na kwa ukakamavu",,"kaukiania, kaukanika"
5219,kauleni,mtu asiye na msimamo,"kigeugeu, ndumakuwili, kimbaumbau, mdhabidhabina",
5220,kauli,maneno yanayosemwa | fikira za mtu kuhusu jambo fulani | uamuzi wa mwisho: Katika suala hili kaka ndiye mwenye kauli.,"usemi, tamko, maoni",
5221,kauli kinzani,"uzungumzaji usio na mtiririko wenye mantiki, uzungumzaji usio fasaha",,
5222,kaulimbiu,"msemo mfupi wenye ujumbe maalumu unaotumiwa katika kampeni za siasa, afya, kilimo na kadhalika ili kuwahamasisha watu: Tanzania bila ukimwi inawezekana; Uhuru na kazi.",,
5223,kaumu,"mkusanyiko wa watu wenye lengo maalumu, umati wa watu maalumu",wafuasi,
5224,kaumwa,dawa ya tumbo inayotengenezwa kwa kuchemsha mzizi wa mkaumwa,,
5225,kaunda,vazi lenye koti lililo na ukosi kama wa shati na mikono mifupi au mirefu,,
5226,kaunta,meza kubwa katika baa au ofisi ambapo huduma hutolewa : kaunta ya baa -> meza ya kuuzia vileo ambapo walevi huizunguka wakinywa : kaunta ya tiketi -> meza ambapo tiketi huuzwa kwa wateja,,
5227,kauri,"udongo mweupe unaong''aa ambao hutumiwa kutengeneza vyombo vya udongo: Vikombe vya kauri vimevunjika. | gamba la konokono wa baharini ambalo hutumiwa kama pambo, dawa na zamani lilitumika kama pesa","dondo, kete, simbi",
5228,kausha,"fanya kuwa kavu, fanya kitu chenye uowevu kukauka",,"kaushana, kaushia, kaushika, kaushwa"
5229,kausha,"mtu mwenye nuksi, mtu anayesababisha hali inayoleta matokeo mabaya",,
5230,kauta,"ungaunga unaotokana na msagiko wa udongo, mawe na takataka mbalimbali",vumbi,
5231,kauzu,"dagaa wakavu wanaovuliwa katika mito au maziwa | mtu asiyeona aibu, mtovu wa haya",,
5232,kavu,"-siokuwa na majimaji, -liyokauka",,
5233,kawa,chombo kinachotumika kufunikia chakula mezani kilichoshonwa kwa ukili na kutiwa nakshi,,
5234,kawaida,"jambo linalofanywa kwa mazoea, jambo linalofahamika kwa kila mtu","desturi, mazoea, kaida",
5235,kawi,kani itumikayo kuendeshea mashine,nishati,
5236,kawia,chelewa kufika mahali husika,"limatia, ahirika, faitika, taahari",
5237,kaya,"familia moja inayoishi pamoja ambayo inajumuisha baba,mama, watoto na ndugu wengine wa karibu",,
5238,kayakaya,wanyama wa baharini wa jamii ya kaa wanaochimba vishimo katika ufukwe wa bahari,"chwago, furo",
5239,kayakaya,sehemu ya foromali ambapo tanga hukunjiwa kwenye foromali au mtepe,,
5240,kayaki,mtumbwi ambao ni maarufu sana huko Kanada unaotengenezwa kwa fremu iliyofunikwa kuzuia maji na kuachiwa uwazi mdogo kwa ajili ya kiti,,
5241,kayamba,ala ya muziki yenye umbo la kisanduku ambalo hutengenezwa kwa matete na kutiwa punje kavu au changarawe na hupigwa kwa kutikiswatikiswa wakati wa ngoma au kuimba,,
5242,kayaya,kelele na hoihoi zinazofanyika katika sherehe,,
5243,kayaya,kwa kupita kiasi: Anaongea kayayakayaya wala hachoki.,"zaidi, mno, sana",
5244,kayekaye,kamba zinazotokeza mbele ya tanga hadi kwenye mti unaofungia tanga,,
5245,kaza,"funga kwa nguvu kwa kamba, uzi, waya, nati na kadhalika: Alikaza nati kwa spana.",bana,"kazia, kazika, kazwa"
5246,kazana,weka juhudi katika jambo: Ukikazana katika masomo utafaulu. | enda kwa haraka kazania,,
5247,kazi,"shughuli kwa mfano kilimo, ukarani, ualimu na kadhalika ambayo mtu hufanya ili kujipatia mahitaji yake: Ameacha kazi ya ukarani. | utendakazi: Kazi ya meno ni kutafuna chakula.",,
5248,kazi,kitu kinachoongeza uzuri: Mkeka wa kazi. | pambo la ushonaji katika ukosi wa kanzu,"nakshi, pambo",
5249,kazia,"sisitiza jambo, weka msisitizo, shikilia jambo: Baba alinikazia umuhimu wa elimu katika hizi zama zetu.",,"kazika, kazisha, kaziwa"
5250,keba!,tamko la kushangiliwa katika sherehe hasa ya arusi,,
5251,kebehi,"ambia mtu maneno ya kukejeli, udhi mtu kwa utani",,"kebehia, kebehiana, kebehika"
5252,kebehi,"kauli za dharau, maudhi yanayosemwa kwa utani",feli,
5253,kebo,nyaya nene ambazo hufunikwa kwa plastiki au mpira na kutumiwa kupitisha umeme au simu,,
5254,keche!,"sauti ya mvunjiko wa kitu kikavu: Tulihisi kuna mtu nje, mara tukasikia keche!",,
5255,kecheka,kuwa katika vipande viwili,vunjika,"kechekea, kechekeka, kechekesha"
5256,kechekeche,tamko la kueleza kuvunjika kabisa kwa kitu: Kioo kilivunjika kechekeche.,,
5257,kedi,mambo yanayoudhi | mambo ya kitapeli | hisia za mtu kujiona bora | mtu anayembebea mcheza gofu mfuko wa vingoe,"ujanjaujanja, hila, makuu, kiburi, majivuno",
5258,keekee,chombo cha seremala ambacho hutiwa msumari wenye hesi ili kutobolea mbao,,
5259,kefle!,tamko la kutukana | tamko la kuonyesha mshangao,"ebo!, masalaleh!, lo!",
5260,kefu,neno la kulinganishia vitu viwili ili kubainisha tofauti zake: Wauza mitumba hulipa kodi kefu wenye maduka.,"sembuse, seuze, fakaifa",
5261,kefya,chezesha kope za jicho kwa kuzipeleka juu na chini | ghasi | dharau,"pepesa, udhi, bughudhi","kefyia, kefyika, kefyikisha"
5262,kejekeje,"-enye kulegea (mzigo), -enye kamba iliyolegea, -liopwaya",chegele,
5263,kejeli,"sema mtu kwa kukebehi, ambia mtu maneno ya kuudhi kwa masihara, fanyia mtu mzaha",tania,"kejelia, kejeliana, kejelika, kejelisha, kejeliwa"
5264,kejeli,maneno ya kukebehi,"utani, masihara",
5265,kekee,bangili zivaliwazo miguuni na wanawake kama pambo,"kikuku, timbi",
5266,kekee,,,
5267,keketa,kata kitu kwa kisu butu | kata kinembe cha mwanamke kwa ajili ya kutia tohara | tafuna kitu aghalabu kigumu,"chikicha, kakatua","keketana, keketea, keketeka, keketesha, keketwa"
5268,keketwa,patwa na maumivu ya tumbo lenye kusokota, umwa na tumbo sana,
5269,kekevu,kwikwi inayotokana na kiungulia,chechevu,
5270,keki,"mkate wa unga wa ngano uliochanganywa na mayai, sukari, siagi na hamira na hivyo kuwa na ladha tamu",,
5271,kelbu,mbwa,,
5272,kele,shughuli nyingi kuliko kawaida,pilikapilika,
5273,kelele,sauti kubwa sana: Watu wanapiga kelele na sisi hatusikilizani. | hali ya kutokuwa na utulivu,"fujo, ghasia, rabsha, nyange, ngenga, chachawizo",
5274,kelele,"tamko la kumnyamazisha mtu anayeongea: Kelele! Sitaki kusikia utetezi wako. nyamaza!, kimya!",,
5275,kema,"toa sauti kali kutokana na maumivu makali, hasira au hofu, piga kelele",lalama,"kemea, kemeka, kemesha"
5276,kemba,ambua gome au ganda la kitu,"menya, andua","kembia, kembika, kembwa"
5277,kemea,semea mtu maneno ya ukali,"gombeza, karipia, hamakia","kemeana, kemeka, kemesha, kemewa"
5278,kemia,tawi la sayansi linalohusu vitu na mwingiliano wa dutu na jinsi dutu hizo zinavyoathiriana,,
5279,kemikali,dawa yenye uwezo wa kubadilisha kitu kikemikali,,
5280,kemkemu,teletele,"pomoni, mzo, chekwa, ndi",
5281,kenda,"namba mojawapo ya kuhesabia, kumi kasoro moja",tisa,
5282,kende,mojawapo ya kokwa mbili za pumbu zinazoning''inia chini ya uume zinazotengeneza manii,korodani,
5283,keneka,chemsha uowevu na kuugeuza kuwa mvuke na kuyakusanya matone ya mvuke yanayogeuka na kuwa maji,,"kenekea, kenekeka, kenekesha, kenekwa"
5284,kenga,aminisha mtu uongo,"laghai, danganya","kengea, kengana, kengeka, kengesha, kengwa"
5285,kenge,"mnyama wa jamii ya mamba lakini mdogo, mwembamba na mwenye miguu mirefu anayeishi nchi kavu",,
5286,kengee,mwanga wa jua wakati wa mawio na machweo, : kengee la jua -> mwanga wa jua wakati wa asubuhi na jioni,
5287,kengele,kitu ambacho hutengenezwa kwa chuma na hutoa sauti kinapogongwa | kitu kinachobonyezwa au kupigwa kikatoa sauti ya kuashiria jambo : kengele ya baiskeli -> kitu kinachofungwa kwenye usukani wa baiskeli na hupigwa ili kuwataka watu wapishe: Nilibonyeza ken,,
5288,kengemeka,ambia mtu kuwa ndiye aliyesababisha jambo kuharibika,"kosoa, laumu, shutumu","kengemekana, kengemekea, kengemekesha, kengemekwa"
5289,keng'eta,,,
5291,kengeua,"fanya mtu apite njia nyingine, poteza njia | potosha mtu, sababisha mtu kuwa na tabia mbaya",,"kengeuana, kengeulia, kengeuka, kengeusha"
5292,kengeuka,"pita njia ya pembeni | tengea, enda tenge","potea, asi","kengeukia, kengeukika, kengeukisha"
5293,kengewa,ndege aina ya mwewe lakini mdogo anayekula kuku,,
5294,kengeza,jicho ambalo mboni iko tenge: Ana macho ya kengeza.,,
5295,kengo,uongo,udanganyifu,
5296,kenua,panua mdomo na onyesha meno kama mtu atakaye kucheka au kuonyesha dharau,,"kenulia, kenuliana, kenusha"
5297,kenuakenua,kuwa katika hali ya kucheka,chekacheka,
5298,kenyekenye,moja kwa moja,,
5299,kera,"fanyia mtu jambo la kuchukiza, fanyia mtu karaha","udhi, sumbua, chukiza","kerana, kereka, keresha, kerwa"
5300,kereka,sumbuliwa na jambo,chukizwa,"kerekea, kerekeka, kereshwa"
5301,kereketa,fanya jambo la kuchukiza | patwa na mwasho kooni: Koo inakereketa.,udhi,"kereketea, kereketeka, kereketesha, kereketwa"
5302,keremkeremu,ndege mla asali,,
5303,kereng'ende,ndege mwitu wa jamii ya kuku lakini mdogo mwenye rangi ya hudhurungi na miguu myekundu | mdudu mkubwa arukaye mwenye kiuno chembamba na apendaye kurukaruka kwenye vidimbwi vya maji,,
5304,kereza,"kata kwa msumeno au na kitu kingine kama hicho, kata kwa kukwaruza | chora umbo la kitu kwa kukwaruza",,"kerezea, kerezana, kerezesha, kerezwa"
5305,kerezo,mashine ya kutengeneza vitu kwa kukereza,,
5306,kerezo,mkoromo wa mtu aliye mahututi au anayekata roho,,
5307,keria,"kitu kama kichanja kilicho juu ya gari kwa mfano mabasi, teksi na kadhalika ambapo huwekwa mizigo | kiti cha pili cha baiskeli ambapo aghalabu huwekwa mzigo",,
5308,kero,jambo linaloudhi kwa mfano rundo la taka zenye uvundo karibu na makazi ya watu au muziki unaopigwa kwa sauti kubwa usiku | usumbufu,"karaha, adha, chagizo, tashtiti",
5309,kesa,(kwa mvua) koma kunyesha: Mvua ilipokesa tuliondoka ofisini na kwenda nyumbani.,"pusa, chesha","kesea, keseka, kesesha"
5310,kesha,"hali ya kukaa macho usiku kucha bila kulala aghalabu kwa ajili ya sherehe, ibada na kadhalika",,
5311,kesha,"kaa bila kulala kuanzia jioni hadi asubuhi ili kutekeleza shughuli maalumu kwa mfano kuomba, kufanya uganga, kulinda doria, sherehe, kumtunza mgonjwa na kadhalika",angaza,"keshea, kesheka"
5312,keshi,pesa halisi zilizo tayari kwa malipo ya papo hapo,,
5313,keshia,mtunza fedha anayepokea na kulipa watu fedha taslimu,,
5314,kesho,"siku ya pili tangu leo, siku inayofuata leo | siku za mwambo au za baadaye kwa mfano kwa mwaka au mwezi : mwaka kesho -> mwaka unaofuata mwaka tulio nao",,
5315,keshokutwa,siku inayofuata kesho,,
5316,kesi,mashtaka yaliyofikishwa mahakamani au mbele ya wazee ili kusikilizwa,"daawa, shauri",
5317,keta,twanga kitu au mtu hadi kumwangusha,,"ketea, ketana, keteka, ketesha"
5318,kete,kaure ndogo na ngumu zipatikanazo ufuoni zitumiwazo kuchezea bao | mchezo wa bao,"komwe, namu, domino, solo",
5319,kete,"bila kelele, bila ghasia: Usiku wa manane ulikuwa kete.","kimya, shwari",
5320,keti,weka makalio juu ya kiti au kitu chochote,kaa,"ketia, ketisha"
5321,keto,"-enye kina, -enye kilindi: Meli kubwa hutia nanga kwenye bandari keto.",,
5322,keu,shindo la shoka lisikikalo wakati wa kukata mti au gogo,,
5323,keua,fanya mti uwe wima kwa kuondoa sehemu iliyopinda kwa kuukata kidogo kwa msumeno au kisu | paka kitu mafuta ili kinyooke,,"keulia, keuliana, keuka, keuliwa"
5324,khaa,tamko la kuonyesha mshangao kwa kuona au kusikia jambo ambalo halikutarajiwa | neno linalotumika kuonyesha dharau,,
5325,kia,kitu aghalabu kipande cha kubania mlango katika upande wa ndani | kiungio cha mkono au mguu,,
5326,kia,inua mguu juu ili kukwepa kitu usikikanyage,"chupa, kiuka",
5327,kiada,-a msingi : Kitabu cha kiada -> kitabu cha msingi,maalumu,
5328,kiada,kwa utaratibu: Zungumza kwa kiada.,"vyema, vizuri",
5329,Kiafrikana,lugha ya Makaburu wa Afrika Kusini ambao ni vizalia vya walowezi wa Kidachi waliohamia nchi hiyo,,
5330,kiaga,"agano analotoa mtu kuwa atalitimiza, sharti analojipa mtu kuwa atalitimiza","ahadi, mapatano",
5331,kiaka,kipande cha mti kinachosimamishwa juu ya boriti la nyumba ili kuzuia paa,,
5332,kiakia,"zungukazunguka bila malengo maalumu, tangatanga hapa na pale bila utulivu","riaria, piapia","kiakilia, kiakika, kiakilisha"
5333,kiali,chembe ya moto inayoruka kutoka motoni,kimota,
5334,kiama,siku ambayo waumini wa dini hudai kuwa ndiyo siku ya mwisho wa dunia,,
5335,kiambajengo,kipashio kidogo ambacho huungana na vipashio vingine ili kujenga kipashio chenye hadhi kubwa zaidi katika misingi ya kiisimu,,
5336,kiambata,kitu kinachoambatana na kingine,,
5337,kiambatisho,"kitu kilichoambatishwa na kuwekwa pamoja na kazi nyingine za kimaandishi kwa mfano barua, ripoti, pendekezo na kadhalika",,
5338,kiambato,kiambatisho,,
5339,kiambaza,sehemu ya nyumba inayojulikana kama ukuta,,
5340,kiambishi,kipande cha neno ambacho hupachikwa kwenye mzizi wa neno ili kutunga neno jipya na lililo na maana pana zaidi: Mzizi ''kimbi'' wa neno kimbia ukiambishwa kiambishi ''m'' na ''zi'' tunapata neno jipya ''mkimbizi'',,
5341,kiambo,makazi ya watu,"kijiji, kitongoji",
5342,kiamo,maziwa ya mwanzo ya mnyama au mwanamke baada ya kuzaa,"danga, tamari",
5343,kiamshahamu,kinywaji au kilaji kinachonywewa au kuliwa kabla ya mlo ili kumpatia mtu hamu ya kula,,
5344,kiamshakinywa,chakula cha asubuhi kabla ya kuanza shughuli ya siku,"staftahi, kisabeho, kifunguakinywa",
